customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_total,segment
CUST_2015_00000001,2574,5,211034.56000000003,1,4,3,8,Loyal Customers
CUST_2015_00000002,1156,10,632049.52,3,4,4,11,Champions
CUST_2015_00000003,3031,9,508294.02,1,4,4,9,Loyal Customers
CUST_2015_00000004,1640,8,812626.53,2,4,4,10,Champions
CUST_2015_00000005,2827,5,418011.46,1,4,4,9,Loyal Customers
CUST_2015_00000006,413,11,2192722.94,4,4,4,12,Champions
CUST_2015_00000007,2251,9,319108.47,1,4,4,9,Loyal Customers
CUST_2015_00000008,3965,1,122254.49,1,1,2,4,At Risk
CUST_2015_00000009,2194,10,721615.85,1,4,4,9,Loyal Customers
CUST_2015_00000010,2487,6,250071.87,1,4,3,8,Loyal Customers
CUST_2015_00000011,3564,6,222930.48,1,4,3,8,Loyal Customers
CUST_2015_00000012,3215,6,579428.77,1,4,4,9,Loyal Customers
CUST_2015_00000013,2302,9,1113317.8399999999,1,4,4,9,Loyal Customers
CUST_2015_00000014,1564,8,511366.54,2,4,4,10,Champions
CUST_2015_00000015,3659,3,146434.91999999998,1,2,3,6,Potential Loyalists
CUST_2015_00000016,1497,7,515248.65,2,4,4,10,Champions
CUST_2015_00000017,2617,12,685542.52,1,4,4,9,Loyal Customers
CUST_2015_00000018,1434,12,365153.27,2,4,4,10,Champions
CUST_2015_00000019,3039,7,96721.48999999999,1,4,2,7,Potential Loyalists
CUST_2015_00000020,1868,4,74166.61,2,3,2,7,Potential Loyalists
CUST_2015_00000021,2924,13,966943.1900000001,1,4,4,9,Loyal Customers
CUST_2015_00000022,1594,6,361161.45999999996,2,4,4,10,Champions
CUST_2015_00000023,3435,4,281160.0,1,3,4,8,Loyal Customers
CUST_2015_00000024,3400,4,206697.06,1,3,3,7,Potential Loyalists
CUST_2015_00000025,2035,8,1198428.27,1,4,4,9,Loyal Customers
CUST_2015_00000026,2151,15,456514.43,1,4,4,9,Loyal Customers
CUST_2015_00000027,783,14,655391.41,3,4,4,11,Champions
CUST_2015_00000028,2205,13,1621618.45,1,4,4,9,Loyal Customers
CUST_2015_00000029,3011,4,366130.17,1,3,4,8,Loyal Customers
CUST_2015_00000030,2929,10,422509.41,1,4,4,9,Loyal Customers
CUST_2015_00000031,2566,11,869534.58,1,4,4,9,Loyal Customers
CUST_2015_00000032,793,9,1374297.96,3,4,4,11,Champions
CUST_2015_00000033,3219,5,107308.98999999999,1,4,2,7,Potential Loyalists
CUST_2015_00000034,2195,7,370892.55,1,4,4,9,Loyal Customers
CUST_2015_00000035,2220,6,619712.07,1,4,4,9,Loyal Customers
CUST_2015_00000036,2568,12,380000.59,1,4,4,9,Loyal Customers
CUST_2015_00000037,2792,7,321312.46,1,4,4,9,Loyal Customers
CUST_2015_00000038,3113,5,490540.68,1,4,4,9,Loyal Customers
CUST_2015_00000039,3225,9,1597628.01,1,4,4,9,Loyal Customers
CUST_2015_00000040,3137,6,403375.61,1,4,4,9,Loyal Customers
CUST_2015_00000041,1729,9,1835693.8499999999,2,4,4,10,Champions
CUST_2015_00000042,2572,2,425536.32,1,2,4,7,Potential Loyalists
CUST_2015_00000043,1277,4,275597.12,2,3,3,8,Loyal Customers
CUST_2015_00000044,3324,6,135391.24,1,4,2,7,Potential Loyalists
CUST_2015_00000045,2953,3,67448.81,1,2,2,5,At Risk
CUST_2015_00000046,1873,15,967205.4,2,4,4,10,Champions
CUST_2015_00000047,2669,8,773356.1499999999,1,4,4,9,Loyal Customers
CUST_2015_00000048,3313,1,95172.7,1,1,2,4,At Risk
CUST_2015_00000049,3027,5,210513.47,1,4,3,8,Loyal Customers
CUST_2015_00000050,1831,8,261682.36,2,4,3,9,Loyal Customers
CUST_2015_00000051,2574,8,1017981.96,1,4,4,9,Loyal Customers
CUST_2015_00000052,1191,10,1256896.81,3,4,4,11,Champions
CUST_2015_00000053,3375,8,497823.51,1,4,4,9,Loyal Customers
CUST_2015_00000054,2668,9,722394.97,1,4,4,9,Loyal Customers
CUST_2015_00000055,1180,10,690557.31,3,4,4,11,Champions
CUST_2015_00000056,2904,5,537380.99,1,4,4,9,Loyal Customers
CUST_2015_00000057,3002,3,173355.55,1,2,3,6,Potential Loyalists
CUST_2015_00000058,2809,4,133148.71,1,3,2,6,Potential Loyalists
CUST_2015_00000059,2415,9,736627.87,1,4,4,9,Loyal Customers
CUST_2015_00000060,1466,17,528541.21,2,4,4,10,Champions
CUST_2015_00000061,3323,5,267669.72000000003,1,4,3,8,Loyal Customers
CUST_2015_00000062,3074,5,324644.58999999997,1,4,4,9,Loyal Customers
CUST_2015_00000063,3357,6,367897.0,1,4,4,9,Loyal Customers
CUST_2015_00000064,1980,9,1284144.15,1,4,4,9,Loyal Customers
CUST_2015_00000065,2788,8,382967.98000000004,1,4,4,9,Loyal Customers
CUST_2015_00000066,1485,15,699207.36,2,4,4,10,Champions
CUST_2015_00000067,3056,3,175788.16,1,2,3,6,Potential Loyalists
CUST_2015_00000068,3200,4,80556.86,1,3,2,6,Potential Loyalists
CUST_2015_00000069,3036,4,170471.97999999998,1,3,3,7,Potential Loyalists
CUST_2015_00000070,2953,2,156117.63,1,2,3,6,Potential Loyalists
CUST_2015_00000071,3337,6,717451.48,1,4,4,9,Loyal Customers
CUST_2015_00000072,734,11,1582463.74,3,4,4,11,Champions
CUST_2015_00000073,2663,10,952139.52,1,4,4,9,Loyal Customers
CUST_2015_00000074,2047,11,669996.52,1,4,4,9,Loyal Customers
CUST_2015_00000075,2093,7,486754.08999999997,1,4,4,9,Loyal Customers
CUST_2015_00000076,1311,5,769836.0599999999,2,4,4,10,Champions
CUST_2015_00000077,1671,9,1410204.19,2,4,4,10,Champions
CUST_2015_00000078,1913,5,361633.98,2,4,4,10,Champions
CUST_2015_00000079,1613,12,821423.3,2,4,4,10,Champions
CUST_2015_00000080,3329,7,491417.18,1,4,4,9,Loyal Customers
CUST_2015_00000081,3372,7,342074.7,1,4,4,9,Loyal Customers
CUST_2015_00000082,1511,10,669945.44,2,4,4,10,Champions
CUST_2015_00000083,1943,10,877023.8300000001,2,4,4,10,Champions
CUST_2015_00000084,2613,10,722467.31,1,4,4,9,Loyal Customers
CUST_2015_00000085,1506,13,1456969.3599999999,2,4,4,10,Champions
CUST_2015_00000086,3093,6,254357.04,1,4,3,8,Loyal Customers
CUST_2015_00000087,2259,11,2032721.19,1,4,4,9,Loyal Customers
CUST_2015_00000088,2555,8,294832.49,1,4,4,9,Loyal Customers
CUST_2015_00000089,1143,11,915148.4600000001,3,4,4,11,Champions
CUST_2015_00000090,2621,5,422140.54000000004,1,4,4,9,Loyal Customers
CUST_2015_00000091,2643,8,635050.77,1,4,4,9,Loyal Customers
CUST_2015_00000092,2615,6,286570.64,1,4,4,9,Loyal Customers
CUST_2015_00000093,2278,6,138659.2,1,4,3,8,Loyal Customers
CUST_2015_00000094,3228,3,95692.92,1,2,2,5,At Risk
CUST_2015_00000095,3320,3,274238.73,1,2,3,6,Potential Loyalists
CUST_2015_00000096,579,14,1656077.29,4,4,4,12,Champions
CUST_2015_00000097,2933,7,138497.69,1,4,3,8,Loyal Customers
CUST_2015_00000098,3033,12,369832.29,1,4,4,9,Loyal Customers
CUST_2015_00000099,2714,9,605622.49,1,4,4,9,Loyal Customers
CUST_2015_00000100,3312,3,60584.509999999995,1,2,1,4,At Risk
CUST_2015_00000101,1041,10,679695.65,3,4,4,11,Champions
CUST_2015_00000102,3006,2,74848.18000000001,1,2,2,5,At Risk
CUST_2015_00000103,3593,3,256561.01,1,2,3,6,Potential Loyalists
CUST_2015_00000104,2077,4,563047.33,1,3,4,8,Loyal Customers
CUST_2015_00000105,2737,7,694517.36,1,4,4,9,Loyal Customers
CUST_2015_00000106,2699,6,718247.72,1,4,4,9,Loyal Customers
CUST_2015_00000107,3093,6,134390.15000000002,1,4,2,7,Potential Loyalists
CUST_2015_00000108,3554,6,651819.76,1,4,4,9,Loyal Customers
CUST_2015_00000109,1228,16,461652.2,3,4,4,11,Champions
CUST_2015_00000110,2215,10,777612.26,1,4,4,9,Loyal Customers
CUST_2015_00000111,414,14,397742.73,4,4,4,12,Champions
CUST_2015_00000112,3019,8,483767.42,1,4,4,9,Loyal Customers
CUST_2015_00000113,2939,7,604709.29,1,4,4,9,Loyal Customers
CUST_2015_00000114,1881,7,170330.26,2,4,3,9,Loyal Customers
CUST_2015_00000115,3675,4,138679.89,1,3,3,7,Potential Loyalists
CUST_2015_00000116,2625,12,1225030.08,1,4,4,9,Loyal Customers
CUST_2015_00000117,3419,3,277807.91,1,2,3,6,Potential Loyalists
CUST_2015_00000118,2951,4,221644.52000000002,1,3,3,7,Potential Loyalists
CUST_2015_00000119,2569,8,524514.71,1,4,4,9,Loyal Customers
CUST_2015_00000120,3528,1,40189.46,1,1,1,3,Lost Customers
CUST_2015_00000121,2204,7,162098.84,1,4,3,8,Loyal Customers
CUST_2015_00000122,1925,10,285080.35,2,4,4,10,Champions
CUST_2015_00000123,3382,5,105264.29,1,4,2,7,Potential Loyalists
CUST_2015_00000124,2363,8,449550.17000000004,1,4,4,9,Loyal Customers
CUST_2015_00000125,2510,3,65398.19,1,2,2,5,At Risk
CUST_2015_00000126,2828,8,538510.0800000001,1,4,4,9,Loyal Customers
CUST_2015_00000127,1950,6,705474.91,2,4,4,10,Champions
CUST_2015_00000128,1916,5,234158.37,2,4,3,9,Loyal Customers
CUST_2015_00000129,3981,2,193978.94,1,2,3,6,Potential Loyalists
CUST_2015_00000130,1119,11,917813.6699999999,3,4,4,11,Champions
CUST_2015_00000131,1475,14,1004772.3,2,4,4,10,Champions
CUST_2015_00000132,2428,6,293890.2,1,4,4,9,Loyal Customers
CUST_2015_00000133,3000,7,307855.65,1,4,4,9,Loyal Customers
CUST_2015_00000134,934,11,1270221.05,3,4,4,11,Champions
CUST_2015_00000135,1595,9,251117.71000000002,2,4,3,9,Loyal Customers
CUST_2015_00000136,2432,12,880632.15,1,4,4,9,Loyal Customers
CUST_2015_00000137,3684,2,46639.05,1,2,1,4,At Risk
CUST_2015_00000138,386,8,709918.16,4,4,4,12,Champions
CUST_2015_00000139,2709,6,638385.6599999999,1,4,4,9,Loyal Customers
CUST_2015_00000140,2320,7,1194935.1,1,4,4,9,Loyal Customers
CUST_2015_00000141,2930,8,400095.74,1,4,4,9,Loyal Customers
CUST_2015_00000142,2674,7,605484.25,1,4,4,9,Loyal Customers
CUST_2015_00000143,2216,7,574218.8200000001,1,4,4,9,Loyal Customers
CUST_2015_00000144,1194,7,453330.06,3,4,4,11,Champions
CUST_2015_00000145,3117,6,637850.48,1,4,4,9,Loyal Customers
CUST_2015_00000146,2049,5,318633.04000000004,1,4,4,9,Loyal Customers
CUST_2015_00000147,2197,4,212100.9,1,3,3,7,Potential Loyalists
CUST_2015_00000148,2371,6,117446.58,1,4,2,7,Potential Loyalists
CUST_2015_00000149,2948,10,1486189.14,1,4,4,9,Loyal Customers
CUST_2015_00000150,2960,5,548531.49,1,4,4,9,Loyal Customers
CUST_2015_00000151,506,11,1203789.02,4,4,4,12,Champions
CUST_2015_00000152,1951,10,777581.99,2,4,4,10,Champions
CUST_2015_00000153,3537,3,98170.33,1,2,2,5,At Risk
CUST_2015_00000154,3317,7,492639.83,1,4,4,9,Loyal Customers
CUST_2015_00000155,3673,3,229417.57,1,2,3,6,Potential Loyalists
CUST_2015_00000156,2576,8,621704.65,1,4,4,9,Loyal Customers
CUST_2015_00000157,2958,6,129995.34,1,4,2,7,Potential Loyalists
CUST_2015_00000158,1857,12,768428.1,2,4,4,10,Champions
CUST_2015_00000159,2490,5,167822.61,1,4,3,8,Loyal Customers
CUST_2015_00000160,2583,3,429624.87,1,2,4,7,Potential Loyalists
CUST_2015_00000161,3154,5,166016.81,1,4,3,8,Loyal Customers
CUST_2015_00000162,3669,2,70845.24,1,2,2,5,At Risk
CUST_2015_00000163,3354,7,422403.93,1,4,4,9,Loyal Customers
CUST_2015_00000164,2719,6,151900.41,1,4,3,8,Loyal Customers
CUST_2015_00000165,3183,4,418950.47,1,3,4,8,Loyal Customers
CUST_2015_00000166,3302,8,318042.17000000004,1,4,4,9,Loyal Customers
CUST_2015_00000167,385,15,1854142.69,4,4,4,12,Champions
CUST_2015_00000168,1890,17,906145.12,2,4,4,10,Champions
CUST_2015_00000169,3513,3,58940.07,1,2,1,4,At Risk
CUST_2015_00000170,2597,9,1325148.95,1,4,4,9,Loyal Customers
CUST_2015_00000171,2416,9,247180.77,1,4,3,8,Loyal Customers
CUST_2015_00000172,1871,16,1072188.17,2,4,4,10,Champions
CUST_2015_00000173,1562,9,445737.47,2,4,4,10,Champions
CUST_2015_00000175,3228,3,198836.85,1,2,3,6,Potential Loyalists
CUST_2015_00000176,3020,11,493571.35000000003,1,4,4,9,Loyal Customers
CUST_2015_00000177,1854,7,368261.79000000004,2,4,4,10,Champions
CUST_2015_00000178,3671,3,167658.22000000003,1,2,3,6,Potential Loyalists
CUST_2015_00000179,2648,8,477799.19,1,4,4,9,Loyal Customers
CUST_2015_00000180,3461,7,301200.81,1,4,4,9,Loyal Customers
CUST_2015_00000181,3225,7,447975.23,1,4,4,9,Loyal Customers
CUST_2015_00000182,2982,8,737694.16,1,4,4,9,Loyal Customers
CUST_2015_00000184,2280,7,197832.68,1,4,3,8,Loyal Customers
CUST_2015_00000185,2571,5,224396.22999999998,1,4,3,8,Loyal Customers
CUST_2015_00000186,1866,10,867530.6,2,4,4,10,Champions
CUST_2015_00000187,2645,4,390089.25,1,3,4,8,Loyal Customers
CUST_2015_00000188,813,10,536495.2,3,4,4,11,Champions
CUST_2015_00000189,1867,12,359290.19999999995,2,4,4,10,Champions
CUST_2015_00000190,3553,4,404265.21,1,3,4,8,Loyal Customers
CUST_2015_00000191,2304,10,374437.67,1,4,4,9,Loyal Customers
CUST_2015_00000192,1997,9,582167.34,1,4,4,9,Loyal Customers
CUST_2015_00000193,1886,10,825955.79,2,4,4,10,Champions
CUST_2015_00000194,2960,13,843712.67,1,4,4,9,Loyal Customers
CUST_2015_00000195,2667,9,436259.8,1,4,4,9,Loyal Customers
CUST_2015_00000196,1471,6,299563.16,2,4,4,10,Champions
CUST_2015_00000197,2128,1,17800.45,1,1,1,3,Lost Customers
CUST_2015_00000198,2620,8,518007.48000000004,1,4,4,9,Loyal Customers
CUST_2015_00000199,1929,9,453275.21,2,4,4,10,Champions
CUST_2015_00000200,3121,8,393929.57,1,4,4,9,Loyal Customers
CUST_2015_00000201,2695,10,310646.62,1,4,4,9,Loyal Customers
CUST_2015_00000202,1451,8,323363.0,2,4,4,10,Champions
CUST_2015_00000203,3431,4,280909.79000000004,1,3,4,8,Loyal Customers
CUST_2015_00000204,2222,7,334703.67,1,4,4,9,Loyal Customers
CUST_2015_00000205,768,9,422699.01,3,4,4,11,Champions
CUST_2015_00000206,1600,5,173719.61,2,4,3,9,Loyal Customers
CUST_2015_00000207,2220,5,254620.61,1,4,3,8,Loyal Customers
CUST_2015_00000208,1149,9,530747.87,3,4,4,11,Champions
CUST_2015_00000209,2255,10,325336.0,1,4,4,9,Loyal Customers
CUST_2015_00000210,1862,16,2591103.69,2,4,4,10,Champions
CUST_2015_00000211,2570,7,533667.71,1,4,4,9,Loyal Customers
CUST_2015_00000212,2926,10,604930.43,1,4,4,9,Loyal Customers
CUST_2015_00000213,3515,7,1210122.46,1,4,4,9,Loyal Customers
CUST_2015_00000214,2208,13,583282.48,1,4,4,9,Loyal Customers
CUST_2015_00000215,1137,12,532085.4,3,4,4,11,Champions
CUST_2015_00000216,3166,3,263612.64,1,2,3,6,Potential Loyalists
CUST_2015_00000217,3552,7,245722.46000000002,1,4,3,8,Loyal Customers
CUST_2015_00000218,3224,9,799203.9099999999,1,4,4,9,Loyal Customers
CUST_2015_00000219,3293,3,75256.47,1,2,2,5,At Risk
CUST_2015_00000220,2609,6,293483.93,1,4,4,9,Loyal Customers
CUST_2015_00000221,1183,11,218460.82,3,4,3,10,Champions
CUST_2015_00000222,2416,11,777613.31,1,4,4,9,Loyal Customers
CUST_2015_00000223,2961,6,653044.15,1,4,4,9,Loyal Customers
CUST_2015_00000224,2547,10,579073.39,1,4,4,9,Loyal Customers
CUST_2015_00000225,2560,5,111179.02,1,4,2,7,Potential Loyalists
CUST_2015_00000226,1652,9,581280.3,2,4,4,10,Champions
CUST_2015_00000227,3315,7,491506.93,1,4,4,9,Loyal Customers
CUST_2015_00000228,908,9,859212.74,3,4,4,11,Champions
CUST_2015_00000229,2201,9,785119.3300000001,1,4,4,9,Loyal Customers
CUST_2015_00000230,2929,6,306725.38,1,4,4,9,Loyal Customers
CUST_2015_00000231,1877,5,338945.26,2,4,4,10,Champions
CUST_2015_00000232,3379,5,93441.38,1,4,2,7,Potential Loyalists
CUST_2015_00000233,3314,3,147068.72999999998,1,2,3,6,Potential Loyalists
CUST_2015_00000234,3335,8,318927.06,1,4,4,9,Loyal Customers
CUST_2015_00000235,472,13,245831.97,4,4,3,11,Champions
CUST_2015_00000236,3300,3,439526.41000000003,1,2,4,7,Potential Loyalists
CUST_2015_00000237,2582,15,1594524.35,1,4,4,9,Loyal Customers
CUST_2015_00000238,2254,11,587969.74,1,4,4,9,Loyal Customers
CUST_2015_00000239,3115,7,591847.02,1,4,4,9,Loyal Customers
CUST_2015_00000240,407,12,304060.13,4,4,4,12,Champions
CUST_2015_00000241,3092,7,195456.22,1,4,3,8,Loyal Customers
CUST_2015_00000242,1131,8,592021.79,3,4,4,11,Champions
CUST_2015_00000243,2771,6,266647.58999999997,1,4,3,8,Loyal Customers
CUST_2015_00000244,985,9,226752.93,3,4,3,10,Champions
CUST_2015_00000245,1584,6,414556.13,2,4,4,10,Champions
CUST_2015_00000246,2821,9,664323.46,1,4,4,9,Loyal Customers
CUST_2015_00000247,17,18,2415459.08,4,4,4,12,Champions
CUST_2015_00000248,3029,4,123415.19,1,3,2,6,Potential Loyalists
CUST_2015_00000249,2950,6,492455.12,1,4,4,9,Loyal Customers
CUST_2015_00000250,2031,6,719504.75,1,4,4,9,Loyal Customers
CUST_2015_00000251,3515,5,236969.63,1,4,3,8,Loyal Customers
CUST_2015_00000252,2937,5,710310.22,1,4,4,9,Loyal Customers
CUST_2015_00000253,3481,4,207175.75,1,3,3,7,Potential Loyalists
CUST_2015_00000254,3400,4,121356.62,1,3,2,6,Potential Loyalists
CUST_2015_00000255,1475,17,964078.18,2,4,4,10,Champions
CUST_2015_00000256,2188,11,272782.28,1,4,3,8,Loyal Customers
CUST_2015_00000257,1408,7,389603.73000000004,2,4,4,10,Champions
CUST_2015_00000258,1678,9,491085.04,2,4,4,10,Champions
CUST_2015_00000259,2927,7,551226.13,1,4,4,9,Loyal Customers
CUST_2015_00000260,1110,12,300342.59,3,4,4,11,Champions
CUST_2015_00000261,3004,5,379401.14,1,4,4,9,Loyal Customers
CUST_2015_00000262,3117,6,420465.08,1,4,4,9,Loyal Customers
CUST_2015_00000263,3319,8,241054.22,1,4,3,8,Loyal Customers
CUST_2015_00000264,1918,9,237937.27,2,4,3,9,Loyal Customers
CUST_2015_00000265,2835,6,418756.39999999997,1,4,4,9,Loyal Customers
CUST_2015_00000266,422,7,412158.82,4,4,4,12,Champions
CUST_2015_00000267,2248,9,480820.7,1,4,4,9,Loyal Customers
CUST_2015_00000268,3341,9,843737.28,1,4,4,9,Loyal Customers
CUST_2015_00000269,1845,13,864186.3,2,4,4,10,Champions
CUST_2015_00000270,2157,7,328762.54,1,4,4,9,Loyal Customers
CUST_2015_00000271,2161,8,601859.81,1,4,4,9,Loyal Customers
CUST_2015_00000272,3468,2,48510.21,1,2,1,4,At Risk
CUST_2015_00000273,1558,3,61791.54,2,2,1,5,At Risk
CUST_2015_00000274,2944,9,548069.97,1,4,4,9,Loyal Customers
CUST_2015_00000275,1840,7,227500.74,2,4,3,9,Loyal Customers
CUST_2015_00000276,2958,7,1133481.63,1,4,4,9,Loyal Customers
CUST_2015_00000277,2595,7,275748.8,1,4,3,8,Loyal Customers
CUST_2015_00000278,2050,8,419694.21,1,4,4,9,Loyal Customers
CUST_2015_00000279,3087,7,637877.01,1,4,4,9,Loyal Customers
CUST_2015_00000280,3291,3,110903.63,1,2,2,5,At Risk
CUST_2015_00000281,395,15,380289.08,4,4,4,12,Champions
CUST_2015_00000282,2628,8,396992.34,1,4,4,9,Loyal Customers
CUST_2015_00000283,2199,9,540045.62,1,4,4,9,Loyal Customers
CUST_2015_00000284,2358,9,314027.83999999997,1,4,4,9,Loyal Customers
CUST_2015_00000285,3329,9,622338.76,1,4,4,9,Loyal Customers
CUST_2015_00000286,2418,10,608468.13,1,4,4,9,Loyal Customers
CUST_2015_00000287,3532,1,11228.43,1,1,1,3,Lost Customers
CUST_2015_00000288,1981,12,304418.37,1,4,4,9,Loyal Customers
CUST_2015_00000289,2986,8,319131.01,1,4,4,9,Loyal Customers
CUST_2015_00000290,2248,9,599780.34,1,4,4,9,Loyal Customers
CUST_2015_00000291,3467,7,457026.77999999997,1,4,4,9,Loyal Customers
CUST_2015_00000292,2646,10,522669.37,1,4,4,9,Loyal Customers
CUST_2015_00000293,2281,7,639912.69,1,4,4,9,Loyal Customers
CUST_2015_00000294,3041,3,127834.48999999999,1,2,2,5,At Risk
CUST_2015_00000295,1837,14,938726.89,2,4,4,10,Champions
CUST_2015_00000296,1220,10,975191.7,3,4,4,11,Champions
CUST_2015_00000297,1764,8,191596.15000000002,2,4,3,9,Loyal Customers
CUST_2015_00000298,1204,17,1471776.0,3,4,4,11,Champions
CUST_2015_00000299,3359,6,198688.51,1,4,3,8,Loyal Customers
CUST_2015_00000300,3311,5,459309.55,1,4,4,9,Loyal Customers
CUST_2015_00000301,369,15,1045613.0900000001,4,4,4,12,Champions
CUST_2015_00000302,2568,11,752314.57,1,4,4,9,Loyal Customers
CUST_2015_00000303,1479,13,1013122.68,2,4,4,10,Champions
CUST_2015_00000304,1908,15,2426860.65,2,4,4,10,Champions
CUST_2015_00000305,3587,1,29314.99,1,1,1,3,Lost Customers
CUST_2015_00000307,2957,10,372399.02,1,4,4,9,Loyal Customers
CUST_2015_00000308,2276,6,462254.87,1,4,4,9,Loyal Customers
CUST_2015_00000309,3794,2,75888.69,1,2,2,5,At Risk
CUST_2015_00000310,3516,6,398373.24,1,4,4,9,Loyal Customers
CUST_2015_00000311,2245,12,739007.8300000001,1,4,4,9,Loyal Customers
